,created_at,text,attitudes_count,comments_count,reposts_count,scheme,sended
0,2019-07-24 14:36:35,钱不禁花。<br /><br />一个感觉，不一定对。 ,2448.0,1021.0,38.0,https://m.weibo.cn/status/HEWIli7oM?mblogid=HEWIli7oM&luicode=10000011&lfid=1076035687069307,False
1,2019-07-23 21:56:03,去年跑赢20%不说了？谁能每个时间段都跑赢指数，上帝？,643.0,182.0,27.0,https://m.weibo.cn/status/HEQadtYfY?mblogid=HEQadtYfY&luicode=10000011&lfid=1076035687069307,False
2,2019-07-23 20:53:07,还想去US的朋友慎重。美签的时候签证官会非常关注去过Iran这件事。,583.0,164.0,13.0,https://m.weibo.cn/status/HEPKFDJLk?mblogid=HEPKFDJLk&luicode=10000011&lfid=1076035687069307,False
3,2019-07-23 20:42:58,白银继续反弹新高。,478.0,87.0,6.0,https://m.weibo.cn/status/HEPGz0fEn?mblogid=HEPGz0fEn&luicode=10000011&lfid=1076035687069307,False
4,2019-07-23 18:08:33,新裤子的彭磊当年不就是为了买房省中介费要去链家当中介吗……,683.0,198.0,51.0,https://m.weibo.cn/status/HEOFSBYXZ?mblogid=HEOFSBYXZ&luicode=10000011&lfid=1076035687069307,False
5,2019-07-23 18:00:48,震惊！<br /><br />过去13天我只发了10条微博！<br /><br />这种亲者痛仇者快的事不能再继续下去了！ ,1697.0,506.0,8.0,https://m.weibo.cn/status/HEOCJkE9N?mblogid=HEOCJkE9N&luicode=10000011&lfid=1076035687069307,False
6,2019-07-23 14:45:40,多看少动。<br /><br />不看也没差。<br /><br />找点别的事分散一下精力。 ,1424.0,460.0,18.0,https://m.weibo.cn/status/HENlwwAVK?mblogid=HENlwwAVK&luicode=10000011&lfid=1076035687069307,False
7,2019-07-22 13:40:45,白银近期涨幅大于黄金，但年度涨幅看依然落后很多。A股市场上没有合适的白银基金，有的一只是做期货，损耗大，不适合持有。<br /><br />想做白银比较好的途径是银行的纸白银，相对来说好一点。<br /><br />如果银价也能突破几年的平台，那么后期在周期转换的过程中，贵金属的走势就会更多一点信心。<br /><br />金银价格无法用价值衡量，只能看周期和趋势。所以走一步看一步是不可避免的。,1003.0,413.0,68.0,https://m.weibo.cn/status/HEDuGd9ft?mblogid=HEDuGd9ft&luicode=10000011&lfid=1076035687069307,False
8,2019-07-22 10:51:05,已公布的14家公司半年报，二季度平均利润增长超过30%。<br /><br />但是家数太少，不具代表性。继续观察。还有一个月左右就能看出大致情况了。<br /><br />根据历史，应该是二季度，最晚三季度上市公司盈利情况开始好转。 ,1353.0,690.0,44.0,https://m.weibo.cn/status/HECnODwSt?mblogid=HECnODwSt&luicode=10000011&lfid=1076035687069307,False
9,2019-07-21 17:40:48,当代中国的另一面。有点好笑，有点感动，也有点难过。,851.0,395.0,100.0,https://m.weibo.cn/status/HEvDD0BAB?mblogid=HEvDD0BAB&luicode=10000011&lfid=1076035687069307,False
