,date,title,description,text,link,sended
0,2018-04-26 23:57,,再休息三个月。2018的第一次休息。浪费太多时间了。人生苦短，用有限的时间做点有意义的事。八月见。,再休息三个月。2018的第一次休息。<br/><br/>浪费太多时间了。人生苦短，用有限的时间做点有意义的事。<br/><br/>八月见。,https://xueqiu.com/4776750571/106113411,True
1,2018-04-26 16:51,,"回复<a href=""http://xueqiu.com/n/yejiangming"" target=""_blank"">@yejiangming</a>: 你说到点子上了。真的有可能。所以以后也许会转移战场。不因为别的，规模太大了很难玩出超额收益了。//<a href=""http://xueqiu.com/n/yejiangming"" target=""_blank"">@yejiangming</a>:回复<a href=""http://xueqiu.com/n/ETF拯救世界"" target=""_blank"">@ETF拯救世界</a>:益达，我们一直选建信500增强作为标的，会不会导致它的规模过大影响超额收益","回复<a href=""http://xueqiu.com/n/yejiangming"" target=""_blank"">@yejiangming</a>: 你说到点子上了。真的有可能。所以以后也许会转移战场。不因为别的，规模太大了很难玩出超额收益了。//<a href=""http://xueqiu.com/n/yejiangming"" target=""_blank"">@yejiangming</a>:回复<a href=""http://xueqiu.com/n/ETF拯救世界"" target=""_blank"">@ETF拯救世界</a>:益达，我们一直选建信500增强作为标的，会不会导致它的规模过大影响超额收益",https://xueqiu.com/4776750571/106077493,True
2,2018-04-26 16:04,,排名一般。,排名一般。,https://xueqiu.com/4776750571/106072614,True
3,2018-04-26 15:52,,"回复<a href=""http://xueqiu.com/n/控计得句计己的狸狸"" target=""_blank"">@控计得句计己的狸狸</a>: 其实，我这个人，老朋友都应该能看出来。不喜欢争不喜欢抢。对谁都客客气气。以前连拉黑别人都不愿意，大不了半年不来雪球或者关闭自己的评论。只是，我对投资这件事非常自信，自信难免会体现在帖子里，就可能会让很多朋友不舒服。尤其是2015年以来我一直没有看多，让很...","回复<a href=""http://xueqiu.com/n/控计得句计己的狸狸"" target=""_blank"">@控计得句计己的狸狸</a>: 其实，我这个人，老朋友都应该能看出来。不喜欢争不喜欢抢。对谁都客客气气。以前连拉黑别人都不愿意，大不了半年不来雪球或者关闭自己的评论。只是，我对投资这件事非常自信，自信难免会体现在帖子里，就可能会让很多朋友不舒服。尤其是2015年以来我一直没有看多，让很多满仓的朋友不开心。但很多时候，如果你能回头去看看，会发现很多让你不舒服的东西正是能帮到你的东西。只是，真的愿意回头看的人并不多。//<a href=""http://xueqiu.com/n/控计得句计己的狸狸"" target=""_blank"">@控计得句计己的狸狸</a>:回复<a href=""http://xueqiu.com/n/ETF拯救世界"" target=""_blank"">@ETF拯救世界</a>:港真，E大，我记得2015年刚玩雪球时，觉得你喜欢装神弄鬼开上帝视角等等。几年下来却不由得我不信你方法论的正确<img src=""//assets.imedao.com/ugc/images/face/emoji_03_applaud.png"" title=""[鼓鼓掌]"" alt=""[鼓鼓掌]"" height=""24"" />现在我每周记录估值等数据，也跟着长赢定投指基，更加觉得投资这事就是说易行难，知难不难的活儿。潜水很久，出来支持一下E大<img src=""//assets.imedao.com/ugc/images/face/emoji_01_smile.png"" title=""[笑]"" alt=""[笑]"" height=""24"" />",https://xueqiu.com/4776750571/106071401,True
4,2018-04-26 15:25,,"回复<a href=""http://xueqiu.com/n/茫然的笨脚大哥"" target=""_blank"">@茫然的笨脚大哥</a>: 是的，换人了。原来的那个人把这个号重金卖给我了。我花了2700买的。以后风格不同了。我愿意说什么说什么，不爱看的取关，不取关的就拉黑。不惯着那些看不惯我还非要关注我的受虐狂。//<a href=""http://xueqiu.com/n/茫然的笨脚大哥"" target=""_blank"">@茫然的笨脚大哥</a>:回复<a href=""http://xueqiu.com/n/ETF拯救世界"" target=""_blank"">@ETF拯救世界</a>:。。。怎么感觉换人了呢。。看了一下热评一号，也就调...","回复<a href=""http://xueqiu.com/n/茫然的笨脚大哥"" target=""_blank"">@茫然的笨脚大哥</a>: 是的，换人了。原来的那个人把这个号重金卖给我了。我花了2700买的。以后风格不同了。我愿意说什么说什么，不爱看的取关，不取关的就拉黑。不惯着那些看不惯我还非要关注我的受虐狂。//<a href=""http://xueqiu.com/n/茫然的笨脚大哥"" target=""_blank"">@茫然的笨脚大哥</a>:回复<a href=""http://xueqiu.com/n/ETF拯救世界"" target=""_blank"">@ETF拯救世界</a>:。。。怎么感觉换人了呢。。看了一下热评一号，也就调侃了一下吧，理解有偏差多了点。这10年经历了深度熊市，而经济依旧高速发展，估值接近最低，也应该进入底部区间了。如果真有人每次都能买到最低点，那也不用分批买入了。看了一下其他评论。。。各种正义喷也不少。",https://xueqiu.com/4776750571/106069090,True
5,2018-04-26 15:22,,"回复<a href=""http://xueqiu.com/n/又见炊烟1999"" target=""_blank"">@又见炊烟1999</a>: 其实我就想知道，我说什么没人喷。还请各位大爷们商量好了给我划个道。//<a href=""http://xueqiu.com/n/又见炊烟1999"" target=""_blank"">@又见炊烟1999</a>:回复<a href=""http://xueqiu.com/n/ETF拯救世界"" target=""_blank"">@ETF拯救世界</a>:整天装神弄鬼什么玩意<img src=""//assets.imedao.com/ugc/images/face/emoji_16_helpless.png"" title=""[摊手]"" alt=""[摊手]"" height=""24"" />","回复<a href=""http://xueqiu.com/n/又见炊烟1999"" target=""_blank"">@又见炊烟1999</a>: 其实我就想知道，我说什么没人喷。还请各位大爷们商量好了给我划个道。//<a href=""http://xueqiu.com/n/又见炊烟1999"" target=""_blank"">@又见炊烟1999</a>:回复<a href=""http://xueqiu.com/n/ETF拯救世界"" target=""_blank"">@ETF拯救世界</a>:整天装神弄鬼什么玩意<img src=""//assets.imedao.com/ugc/images/face/emoji_16_helpless.png"" title=""[摊手]"" alt=""[摊手]"" height=""24"" />",https://xueqiu.com/4776750571/106068871,True
6,2018-04-26 15:20,,"回复<a href=""http://xueqiu.com/n/Poise"" target=""_blank"">@Poise</a>: 很长，10年。很高，几倍。开始几年慢慢涨，后面加速，越来越快，越来越高。简直太美。//<a href=""http://xueqiu.com/n/Poise"" target=""_blank"">@Poise</a>:回复<a href=""http://xueqiu.com/n/ETF拯救世界"" target=""_blank"">@ETF拯救世界</a>:超级大牛市有什么特征啊","回复<a href=""http://xueqiu.com/n/Poise"" target=""_blank"">@Poise</a>: 很长，10年。很高，几倍。开始几年慢慢涨，后面加速，越来越快，越来越高。简直太美。//<a href=""http://xueqiu.com/n/Poise"" target=""_blank"">@Poise</a>:回复<a href=""http://xueqiu.com/n/ETF拯救世界"" target=""_blank"">@ETF拯救世界</a>:超级大牛市有什么特征啊",https://xueqiu.com/4776750571/106068724,True
7,2018-04-26 14:55,,"回复<a href=""http://xueqiu.com/n/乐视坑爹啊"" target=""_blank"">@乐视坑爹啊</a>: 是。不过其实也差不多。尖底不可靠。比如2008年的极度深寒尖底，虽然0910可以让你翻番，但之后还是要用几年还债。2000年的债，用了5年到2005年还完。2007年的债，在2012-2013年还完，还是五年。2015年的债，其实大概率确实也不会在2016年还完。极度的不理性和高收益一定会用时间...","回复<a href=""http://xueqiu.com/n/乐视坑爹啊"" target=""_blank"">@乐视坑爹啊</a>: 是。不过其实也差不多。尖底不可靠。比如2008年的极度深寒尖底，虽然0910可以让你翻番，但之后还是要用几年还债。2000年的债，用了5年到2005年还完。2007年的债，在2012-2013年还完，还是五年。2015年的债，其实大概率确实也不会在2016年还完。极度的不理性和高收益一定会用时间和空间熨平。踏踏实实的，多大点事儿。下一轮牛市，一定是从未出现过的真正超级大牛市。//<a href=""http://xueqiu.com/n/乐视坑爹啊"" target=""_blank"">@乐视坑爹啊</a>:回复<a href=""http://xueqiu.com/n/ETF拯救世界"" target=""_blank"">@ETF拯救世界</a>:E大，想请教个问题。<br/>如果真的有人捣乱的话，会不会非常影响赚钱的效率？<br/>比如说本来1年可以见底，因为有人捣乱，3年才能见底。所以时间成本就增加了2年。<br/>用了5年才做到了本来3年的收益率，年化收益率会因此大打折扣，情况会是这样吗？",https://xueqiu.com/4776750571/106065784,True
8,2018-04-26 14:42,,忘了说了。其实，太多人并没有经历过真正的深冬。在他们的世界观里，春夏秋冬其实是不完整的。over。,忘了说了。其实，太多人并没有经历过真正的深冬。在他们的世界观里，春夏秋冬其实是不完整的。over。,https://xueqiu.com/4776750571/106064144,True
9,2018-04-26 14:20,,各位，我表达一下自己的一些想法，不对的请指教。 前几天说过，趋势其实很重要。我们不一定按照趋势投资，但是会参考。目前的趋势当然是不好，我观察的所有A股指数，除了医药养老几乎都是下降趋势。 意志坚定的朋友当然无所谓，眼前一片迷茫的朋友终会有个时间坚持不住。希望似乎不会再有了。 我...,<p>各位，我表达一下自己的一些想法，不对的请指教。</p><p><br/></p><p>前几天说过，趋势其实很重要。我们不一定按照趋势投资，但是会参考。目前的趋势当然是不好，我观察的所有A股指数，除了医药养老几乎都是下降趋势。</p><p><br/></p><p>意志坚定的朋友当然无所谓，眼前一片迷茫的朋友终会有个时间坚持不住。希望似乎不会再有了。</p><p><br/></p><p>我想说的是，目前的情况特别正常。这本来就是应该发生的。在2015、2016就应该一步到位的事情，被很多外部因素弄到2018年还在还债。我说这话，当然不是信口雌黄。我的数据就是这样显示。当然，我的数据也未必对，但至少到目前，没有错。</p><p><br/></p><p>目前的情况，过去也发生过。价值回归而已。三五年总要来一次。夏天、冬天。狂喜、恐惧。我眼睁睁的看着A股周而复始的好多次。我试图找到其中的规律，好在已经有些眉目。</p><p><br/></p><p>就像如果你知道了天文历法，知道了春夏秋冬的更替，就不会对冬天感到害怕。下跌总会过去，从极贵到极便宜后，下一轮牛市就会开始。很多股票不会再涨，但指数、市场，会开始又一轮的疯狂。冬天的我们，应该能预测到夏天的温度。</p><p><br/></p><p>所以，该发生的就让它发生。人工干扰只会扰乱自然更替。没什么大不了，一切都很正常。发生不正常的事情也很正常。一切都很正常，过去发生过，未来也会继续发生。</p><p><br/></p><p>在A股赚钱其实挺简单的。真的。</p>,https://xueqiu.com/4776750571/106061476,True
